impl,N,DIM,K,build_s,query_us,brute_us,speedup,recall
cpp_scalar,1000,128,10,0.151622,126.6,50.89,0.401975,1
cpp_scalar,5000,128,10,2.49166,275.7,251.27,0.911389,1
cpp_scalar,10000,128,10,7.09985,337.75,498.45,1.4758,1
cpp_scalar,5000,64,10,0.978067,139.82,92.26,0.659848,1
cpp_scalar,5000,256,10,5.99126,550.49,555.36,1.00885,1
cpp_scalar,5000,128,5,2.52905,273.35,250.31,0.915712,1
cpp_scalar,5000,128,50,2.48145,273.75,255.02,0.93158,1
cpp_simd,1000,128,10,0.157644,124.42,50.5,0.405883,1
cpp_simd,5000,128,10,2.51514,275.54,251.2,0.911664,1
cpp_simd,10000,128,10,7.19404,334.6,497.39,1.48652,1
cpp_simd,5000,64,10,0.981709,142.91,92.26,0.645581,1
cpp_simd,5000,256,10,5.96577,550.28,553.47,1.0058,1
cpp_simd,5000,128,5,2.48467,272.76,250.57,0.918646,1
cpp_simd,5000,128,50,2.49535,276.13,257.66,0.933111,1
